metascore,top_100_director,in_a_collection,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,other genre,production_cos,en,es,fr,it,de,other_spk_lng,profit,budget,revenue,popularity,runtime,age,vote_count,vote_average,views
48.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,9624456.0,7000000.0,16624456.0,4.941989,86.0,28.116666666666788,192.0,5.3,6.192982456140351
52.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,233212670.0,18000000.0,251212670.0,12.799853,85.0,23.116666666666788,602.0,6.3,4.543859649122807
78.0,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,320448145.0,30000000.0,350448145.0,10.859292,116.0,26.200000000000045,1814.0,6.8,73.73684210526316
80.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,54993712.0,7500000.0,62493712.0,11.400353,108.0,32.11666666666679,576.0,7.1,27.0
100.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,239066411.0,6000000.0,245066411.0,41.109264,175.0,48.450000000000045,6024.0,8.5,94.78947368421052
100.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,22464742.0,2000000.0,24464742.0,10.135111,102.0,74.0333333333333,345.0,7.8,18.63157894736842
56.0,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,328583407.0,23000000.0,351583407.0,14.13488,101.0,26.116666666666788,2550.0,6.6,55.87719298245614
65.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,135926552.0,100000000.0,235926552.0,13.249364,146.0,19.200000000000045,2011.0,6.8,12.263157894736842
51.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,809317558.0,115000000.0,924317558.0,15.649091,136.0,21.283333333333303,4526.0,6.4,39.01754385964912
79.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,138300000.0,2700000.0,141000000.0,7.525382,109.0,42.11666666666679,420.0,7.0,21.31578947368421
40.0,1.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,19187653.0,8000000.0,27187653.0,11.842837,163.0,35.700000000000045,69.0,6.8,7.649122807017544
61.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,224600000.0,60000000.0,284600000.0,19.96678,189.0,20.700000000000045,4166.0,8.2,36.50877192982456
44.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1,309220945.0,140000000.0,449220945.0,11.419388,183.0,19.283333333333303,1833.0,6.6,9.385964912280702
68.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,402471524.0,92000000.0,494471524.0,8.739144,113.0,24.283333333333303,966.0,6.1,65.80701754385964
46.0,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-10000000.0,10000000.0,0.0,7.644722,128.0,42.7833333333333,201.0,6.4,4.298245614035087
45.0,0.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,182385533.0,30000000.0,212385533.0,8.205448,90.0,24.783333333333303,1128.0,6.1,36.56140350877193
66.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,63781642.0,12000000.0,75781642.0,6.498789,102.0,18.366666666666788,139.0,6.2,4.4035087719298245
74.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,365717150.0,85000000.0,450717150.0,12.114932,116.0,18.700000000000045,3857.0,7.2,35.92982456140351
88.0,0.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,743241776.0,45000000.0,788241776.0,21.605761,89.0,26.200000000000045,5520.0,8.0,73.96491228070175
53.0,0.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,825491110.0,200000000.0,1025491110.0,17.285093,108.0,10.450000000000045,4773.0,6.4,6.157894736842105
40.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,58267375.0,57000000.0,115267375.0,23.63659,103.0,24.283333333333303,553.0,6.4,28.964912280701753
73.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,77719885.0,5000000.0,82719885.0,17.656951,113.0,17.866666666666788,1816.0,7.1,19.771929824561404
85.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,199847354.0,90000000.0,289847354.0,18.515448,151.0,13.866666666666788,4455.0,7.9,32.08771929824562
86.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0.0,0.0,0.0,1.860018,92.0,19.950000000000045,31.0,6.4,5.192982456140351
59.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,209400000.0,20000000.0,229400000.0,39.39497,116.0,22.700000000000045,3643.0,8.3,43.89473684210526
52.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,31371017.0,70000000.0,101371017.0,15.63424,106.0,23.700000000000045,1544.0,6.1,21.05263157894737
50.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,0,0,0,0.0,0.0,0.0,9.146544,111.0,25.283333333333303,179.0,6.2,25.666666666666668
65.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,85313124.0,0.0,85313124.0,5.773277,117.0,35.200000000000045,329.0,6.5,16.0
88.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,-15000000.0,15000000.0,0.0,9.837287,132.0,35.5333333333333,877.0,7.6,24.350877192982455
51.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,8.977922,95.0,43.700000000000045,64.0,6.3,3.175438596491228
76.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,127436818.0,60000000.0,187436818.0,17.924927,170.0,24.700000000000045,1886.0,7.7,51.228070175438596
40.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,-600000.0,600000.0,0.0,9.133988,83.0,43.0333333333333,67.0,6.4,5.105263157894737
40.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,8.500509,115.0,64.7833333333333,19.0,6.7,7.175438596491228
